mode,query_id,recommended,relevant,candidate_union_size,disease,strict,symptom,bm25,dense,prior,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10,precision@20,recall@20,hit@20,ndcg@20,mrr,stage_hit_disease,stage_hit_strict,stage_hit_symptom,stage_hit_bm25,stage_hit_dense,stage_hit_prior,stage_hit_union
label_core_rerank,half2_disease_acne_0001,isotretinoin | accutane | benzoyl peroxide / clindamycin | tretinoin | adapalene / benzoyl peroxide | epiduo | magnesium hydroxide | claravis | benzaclin | spironolactone | doxycycline | phillips' milk of magnesia | duac | retin-a | dapsone | aczone | clindamycin / tretinoin | drospirenone / ethinyl estradiol | onexton | benzoyl peroxide / sulfur,alcortin a | cleocin hcl | cleocin pediatric | cleocin phosphate | clindamycin | cyclocort | dermatop,273,273,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
label_core_rerank,half2_disease_alcoholic_hepatitis_0002,elocon | clobetasol | desonide | prednisone | flurandrenolide | cordran tape | clocortolone | clobex | cloderm | methylprednisolone | mometasone | betamethasone | cellcept | fluocinonide | fluocinolone | mycophenolate mofetil | budesonide | hydrocortisone | desoximetasone | zenpep,hydrochlorothiazide,49,49,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_core_rerank,half2_disease_allergy_0003,cyproheptadine | promethazine | prednisone | omalizumab | epipen | ketotifen | xolair | chlor-trimeton | phenergan | ketorolac | chlorpheniramine | epinephrine | ranitidine | carbinoxamine | aristocort | zaditor | alavert | azelastine | triamcinolone | zymine,acetaminophen / diphenhydramine | acrivastine / pseudoephedrine | alavert | alavert d-12 hour allergy and sinus | all day allergy-d | allegra | allegra allergy | allegra odt | allegra-d 12 hour | allegra-d 24 hour | aller-ease | allerest maximum strength | allergy & congestion relief | antinaus 50 | arbinoxa | aristospan | astelin | astepro | azelastine | azelastine / fluticasone | beclomethasone | beconase aq | betamethasone | brohist d | bromaline | brompheniramine / phenylephrine | brompheniramine / pseudoephedrine | brotapp | budesonide | carbinoxamine | carboxine | celestone soluspan | cetirizine | cetirizine / pseudoephedrine | chlorpheniramine / pseudoephedrine | ciclesonide | clarinex | clarinex reditabs | clarinex-d 12 hour | clarinex-d 24 hour | claritin | claritin reditabs | claritin-d | claritin-d 12 hour | claritin-d 24 hour | clear-atadine-d | clemastine | clinacort | compoz nighttime sleep aid | cortef | cortisone | cromolyn | cyproheptadine | decon-a | deconamine | desloratadine | desloratadine / pseudoephedrine | dexchlorpheniramine | dexchlorpheniramine / phenylephrine | dicel | dimetane decongestant | dimetapp children's cold & allergy | dymista | epifoam | fexofenadine | fexofenadine / pseudoephedrine | flonase | flonase allergy relief | flonase sensimist | flunisolide | fluticasone | grastek | headache relief pm | histex ct | histex ie | histex pd | house dust mite allergen extract | hydrocortisone | hydrocortisone / pramoxine | karbinal er | kenalog-10 | leader allergy relief d-24 | legatrin pm | lodrane d | lohist-d | loratadine / pseudoephedrine | loratadine-d 12 hour | loratadine-d 24 hour | midol pm | mixed grass pollens allergen extract | mometasone | mometasone / olopatadine | mucinex allergy | nasacort allergy 24hr | nasalcrom | nasonex 24hr allergy | nytol quickcaps | odactra | ohm allergy relief | olopatadine | omnaris | oralair | patanase | percogesic extra strength | percogesic original strength | phenadoz | phenergan | prednisolone | promethazine | promethegan | qnasl | ragweed pollen allergen extract | ragwitek | rhinocort allergy | ru-hist d | ryaltris | ryclora | rymed | rynex pe | ryvent | semprex-d | simply sleep | sleepinal | solu-cortef | sominex | sudogest sinus & allergy | tavist nd | timothy grass pollen allergen extract | triamcinolone | tylenol pm | unisom sleepgels | unisom sleepmelts | unisom sleeptabs | wal-itin | z-sleep | zetonna | zodex | zyrtec | zyrtec-d,76,76,0,0,0,0,0,0.4,0.014388489208633094,1.0,0.5531464700081437,0.3,0.02158273381294964,1.0,0.4252084336260237,0.35,0.050359712230215826,1.0,0.4111373615488441,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
label_core_rerank,half2_disease_arthritis_0004,diclofenac | tramadol | stelara | acetaminophen / hydrocodone | enbrel | ustekinumab | doxycycline | etanercept | prednisone | lortab | ketoprofen | norco | indomethacin | valdecoxib | voltaren | duloxetine | cataflam | cymbalta | naprelan | probenecid,"a-g profen | abatacept | abenol | abrilada | acephen | acetaminophen | acetaminophen / aspirin / caffeine | actimol children's | actimol infant | activice | adalimumab | addaprin | advil | advil children's | advil infant's concentrated drops | aflaxen | aleve | alka-seltzer wake-up call! | allopurinol | aloprim | altenol | aminofen | amjevita | anacin | anacin advanced headache formula | anaprox | anaprox-ds | apra | arava | aristospan | arthritis pain relief | arthrotec | aspercreme pain relieving heat gel | aspirin / caffeine | atasol | auranofin | azasan | azulfidine | azulfidine en-tabs | backaid inflammatory pain formula | bayer back & body | bc arthritis | bengay ultra strength pain relieving patch | betamethasone | bioflavonoids | biofreeze | blue gel | blue-emu maximum strength arthritis, muscle & joint pain relief | boroleum | camphor / menthol / methyl salicylate | capsaicin / lidocaine / menthol / methyl salicylate | capsin | capzasin-hp | castiva warming | cataflam | celebrex | celecoxib | celestone soluspan | certolizumab | cetafen | children's motrin | choline magnesium trisalicylate | chondroitin / glucosamine / methylsulfonylmethane | cimzia | clinacort | clinoril | cope | cortef | cortisone | cosentyx | cuprimine | d-penamine | daypro | depen | diclofenac | diclofenac / misoprostol | diflunisal | dolobid | dolono | duexis | ec-naprosyn | enbrel | erelzi | esomeprazole / naproxen | eticovo | etodolac | eucalyptamint | excedrin | exocaine plus | famotidine / ibuprofen | febrol solution | febuxostat | feldene | fenoprofen | fenortho | feverall | flanax pain reliever | flexall | flurbiprofen | genace | genapap | genebs | gengraf | genpril | glucoten | gold bond medicated maximum strength foot | golimumab | goody's extra strength | goody's headache powders | hadlima | heet triple action | hulio | humira | hydrocortisone | hydroxychloroquine | hyrimoz | ibu-200 | ibuprofen | icy hot advanced relief pain relief patch | icy hot extra strength | icy hot medicated spray | icy hot vanishing scent pain relieving gel | imuran | indocin | indocin sr | indomethacin | infliximab | ixekizumab | ixifi | ketoprofen | kevzara | krystexxa | leflunomide | lidamantle | lidocaine | lidopro | mapap arthritis pain | max-freeze | meclofenamate | meloxicam | menthac arthritis cream with capsaicin | menthol | mentholatum deep heating | methyl salicylate | midol ib | mineral ice | mobic | monovisc | motrin | motrin childrens | motrin ib | nabumetone | nalfon | naprelan | naprosyn | naproxen | neoral | nortemp children's | nuprin | orencia | otrexup | oxaprozin | p-a-c analgesic | penicillamine | percogesic extra strength | piroxicam | plaquenil | prednisolone | prialt | probenecid | proprinal | rasuvo | reditrex | remicade | ridaura | rinvoq | risankizumab | rituxan | rituximab | salonpas pain patch | salonpas-hot | salsalate | sarilumab | satogesic | secukinumab | skyrizi | sloan's liniment | solu-cortef | stelara | stopain | sulfasalazine | sulindac | taltz | tivorbex | tofacitinib | tolmetin | transderm-iq | tremfya | trexall | tylenol | tylenol arthritis pain | uloric | ustekinumab | vimovo | voltaren | xeljanz | yusimry | zodex | zorvolex | zostrix | zostrix sports | zyloprim",255,255,0,0,0,0,0,0.6,0.014150943396226415,1.0,0.6399453854227659,0.4,0.018867924528301886,1.0,0.49367903606741653,0.5,0.04716981132075472,1.0,0.5303083917996428,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
label_core_rerank,half2_disease_bronchial_asthma_0005,doxycycline | prednisone | azithromycin | rocephin | tudorza pressair | aclidinium | xopenex | methylprednisolone | omalizumab | ceftriaxone | mometasone | xolair | levalbuterol | primatene mist | intal inhaler | accolate | zafirlukast | guaifenesin | epinephrine | revefenacin,cetirizine | cortef | cortisone | hydrocortisone | zodex,221,221,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
label_core_rerank,half2_disease_cervical_spondylosis_0006,lorazepam | ativan | baclofen | onabotulinumtoxina | botox | abobotulinumtoxina | dysport | lioresal | botulinum toxin type b | myobloc | xeomin | incobotulinumtoxina,cyclobenzaprine | flexall | gold bond medicated maximum strength foot | icy hot advanced relief pain relief patch | icy hot extra strength | icy hot medicated spray | icy hot vanishing scent pain relieving gel,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label_core_rerank,half2_disease_chicken_pox_0007,valacyclovir | valtrex | acyclovir | varicella zoster immune globulin | foscarnet | immune globulin intramuscular | measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine | varicella virus vaccine,acyclovir | valacyclovir | zovirax,8,8,0,0,0,0,0,0.4,0.6666666666666666,1.0,0.7039180890341348,0.2,0.6666666666666666,1.0,0.7039180890341348,0.1,0.6666666666666666,1.0,0.7039180890341348,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
label_core_rerank,half2_disease_common_cold_0008,dexbrompheniramine / pseudoephedrine | drixoral cold and allergy | valacyclovir | valtrex | chlorpheniramine / hydrocodone | tussionex pennkinetic | acyclovir | zutripro | chlorpheniramine / hydrocodone / pseudoephedrine | semprex-d | acrivastine / pseudoephedrine | doxycycline | cyproheptadine | privine | promethazine | prednisone | ephedrine / guaifenesin | astelin | penciclovir | chlorpheniramine / phenylephrine,acephen | acetaminophen | acetaminophen / aspirin / caffeine | acetaminophen / diphenhydramine | actamin | alavert d-12 hour allergy and sinus | aleve | alka-seltzer wake-up call! | all day allergy-d | allegra-d 12 hour | allegra-d 24 hour | allerest maximum strength | allergy & congestion relief | anacin | anacin advanced headache formula | anacin aspirin free | anbesol | arctic relief | aspirin / caffeine | backaid inflammatory pain formula | bayer back & body | bc arthritis | brohist d | bromaline | brompheniramine / phenylephrine | brompheniramine / pseudoephedrine | brotapp | cetirizine | cetirizine / pseudoephedrine | children's silapap | children's tylenol | chlorpheniramine / pseudoephedrine | clarinex-d 12 hour | clarinex-d 24 hour | claritin | claritin-d | claritin-d 12 hour | claritin-d 24 hour | clear-atadine-d | clemastine | compoz nighttime sleep aid | cool 'n heat patch | cope | decon-a | deconamine | desloratadine / pseudoephedrine | dexchlorpheniramine | dexchlorpheniramine / phenylephrine | dicel | dimetane decongestant | dimetapp children's cold & allergy | excedrin | febrol solution | feverall | fexofenadine / pseudoephedrine | genace | goody's extra strength | goody's headache powders | headache relief pm | leader allergy relief d-24 | legatrin pm | lodrane d | lohist-d | loratadine / pseudoephedrine | loratadine-d 12 hour | loratadine-d 24 hour | m-pap | mapap | midol pm | nytol quickcaps | p-a-c analgesic | paracetamol | percogesic extra strength | percogesic original strength | pharbetol | ru-hist d | ryclora | rymed | rynex pe | sarna sensitive | silapap childrens | simply sleep | sleepinal | sominex | sudogest sinus & allergy | tactinal | tempra quicklets | tiger balm | tycolene | tylenol | tylenol pm | unisom sleepgels | unisom sleepmelts | unisom sleeptabs | vitapap | z-sleep | zyrtec | zyrtec-d,511,511,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
label_core_rerank,half2_disease_diabetes_0009,liraglutide | gabapentin | victoza | tretinoin | clobetasol | desmopressin | pregabalin | pramlintide | humulin r u-500 (concentrated) | duloxetine | nortriptyline | cymbalta | chromium picolinate | byetta | symlin | topiramate | exubera | insulin isophane | ddavp | insulin aspart / insulin aspart protamine,capzasin-hp | castiva warming | losartan | pregabalin | qutenza | zostrix,228,228,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,1.0,0.10086747116627115,0.05,0.16666666666666666,1.0,0.10086747116627115,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,1.0
label_core_rerank,half2_disease_dimorphic_hemorrhoids_piles_0010,,benzocaine | blistex ointment | bupivacaine liposome | epifoam | glydo | hydrocortisone | hydrocortisone / pramoxine | pramoxine | prax | recticare | regenecare ha spray,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
